name,department,area,studentAngle
Parag Banerjee,Materials Science and Engineering,"ALD/ALE, thin films, atomic-scale surface/interface engineering, electronic/optical/energy device-relevant materials","Strong fit for process science, deposition, etching, thin films, and semiconductor-adjacent materials processing."
Leland Nordin,Materials Science and Engineering / CREOL,"Semiconductor materials and devices, growth, fabrication, characterization, optoelectronic/photonic devices","Strong fit for semiconductor light sources, infrared/optoelectronic devices, photonics, and device fabrication."
Sidong Lei,Materials Science and Engineering / NanoScience Technology Center,"Van der Waals semiconductors, 2D materials, surface/interface tailoring, flexible and layered devices","Strong fit for 2D semiconductors, van der Waals integration, nanoscale devices, and materials-device interfaces."
Liping Yu,Materials Science and Engineering,"Materials theory, modeling, informatics, electronic/energy materials, computational design of functional materials","Strong fit for computational materials, materials informatics, semiconductor screening, and theory-driven materials design."
Viktoryia Shautsova,Materials Science and Engineering,"2D materials, van der Waals heterostructure devices, photodetectors, laser patterning and phase transformation of 2D films","Good fit for 2D devices, photodetectors, nanoscale optoelectronics, and advanced device materials."
Reza Abdolvand,Electrical and Computer Engineering,"MEMS/NEMS, micro- and nano-systems, semiconductor workforce/cleanroom initiatives","Good fit for MEMS, fabrication, cleanroom training, and UCF semiconductor workforce programs."
Jiann S. Yuan,Electrical and Computer Engineering,"Semiconductor devices and ICs, GaN power devices, reliability analysis, analog/mixed-signal/RF circuits","Strong fit for device engineering, power semiconductors, reliability, ICs, and electronics design."
Enxia Zhang,Electrical and Computer Engineering,"Reliability and radiation response in advanced microelectronic devices and ICs based on silicon, compound semiconductors, 2D materials, photonic devices, RF devices, and MEMS/NEMS","Strong fit for space electronics, radiation effects, device reliability, SiC/GaN/compound semiconductors, and defense/aerospace applications."
Wayesh Qarony,Physics / ECE / CREOL,"Quantum materials and devices, integrated photonics, nano-optical devices, single-photon sources and detectors","Good fit for quantum photonics, optoelectronics, integrated photonic devices, and quantum-device materials."
Saiful Khondaker,Physics,"Nanoscale electrical/optical devices using low-dimensional nanostructures, nanotubes, graphene, organic electronics, photovoltaic devices","Good fit for nanodevices, low-dimensional electronic transport, graphene/CNT devices, and organic electronics."
Sergey Stolbov,Physics,"Computational quantum materials, defects in wide-bandgap semiconductors, spin qubits and single-photon emitters","Good fit for theory/computation, wide-bandgap semiconductors, quantum defects, and quantum information materials."
Tom Hopper,Chemistry,"Ultrafast photophysics in organic, hybrid, nanoscale materials and devices; emerging photovoltaics, optoelectronic and quantum technologies","Good fit for chemistry/materials links to optoelectronics, perovskites, quantum dots, and ultrafast characterization."
